"numero_tombo","especie","autoria","familia","genero","nome_comum","dia_inicio","mes_inicio","ano_inicio","dia_fim","mes_fim","ano_fim","data_registro","coletor","determinador","tipo_de_registro","pais","codigo_pais","estado","municipio","localidade","latitude","longitude","numero_individuos","ambiente"
"MN-0042971","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","17","09","2015","17","12","2015","17/09/2015","B. Carvalho","P. Santos","Observação em campo","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.70186","-53.83563","1","Campos do Pampa"
"MN-0043002","Pyrrhura griseipectus","Salvadori, 1900","Psittacidae","Pyrrhura","Tiriba-de-peito-cinza","08","11","2022","08","11","2022","08/11/2022","T. Almeida","T. Almeida","Observação","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.93195","-39.05512","5","Caatinga / serra úmida"
"MN-0042901","Myrmecophaga tridactyla","Linnaeus, 1758","Myrmecophagidae","Myrmecophaga","Tamanduá-bandeira","20","02","2024","20","11","2024","20/02/2024","A. Maciel","T. Almeida","Armadilha fotográfica","BRASIL","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.29304","-52.92379","1","Cerrado / campo limpo"
"MN-0043897","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","11","04","2019","11","04","2019","11/04/2019","F. Oliveira","G. Nunes","Material preservado (herbário)","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.56141","-37.22601","","Caatinga arbórea"
"MN-0042868","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","21","03","2018","21","03","2018","21/03/2018","P. Santos","L. Souza","Observação em campo","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.51183","-37.23197","5","Caatinga arbórea"
"MN-0043651","Butia odorata","(Barb.Rodr.) Noblick","Arecaceae","Butia","Butiá","25","03","2018","25","05","2018","25/03/2018","F. Oliveira","R. Cunha","Material preservado (herbário)","","BR","Rio Grande do Sul","Canguçu","Serra do Sudeste (zona rural)","-31.44209","-52.69675","1","Campos do Pampa"
"MN-0043533","Dipteryx alata","Vogel","Fabaceae","Dipteryx","Baru","14","07","2015","14","08","2015","14/07/2015","B. Carvalho","T. Almeida","Material preservado (herbário)","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.26921","-52.93786","1","Cerrado / campo limpo"
"MN-0043589","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","12","02","2017","12","03","2017","12/02/2017","A. Maciel","G. Nunes","Coleta","Brasil","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.21576","-36.46266","2","Brejo de altitude"
"MN-0043714","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","20","09","2024","20","10","2024","20/09/2024 22:33","C. Lima","F. Oliveira","Registro fotográfico","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.71507","-53.79664","1","Campos do Pampa"
"MN-0043491","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","15","08","2021","15","11","2021","15/08/2021","T. Almeida","M. Andrade","Observação","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.63693","-53.84148","","Campos do Pampa"
"MN-0042994","Prosopis affinis","Spreng.","Fabaceae","Prosopis","Inhanduvá","17","09","2016","17","09","2016","2016/09/17","P. Santos","G. Nunes","Espécime preservado","Brasil","BR","Rio Grande do Sul","Barra do Quaraí","Parque Estadual do Espinilho","-30.15634","-57.53736","1","Savana-estépica (Pampa)"
"MN-0043609","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","13","10","2017","13","01","2018","13/10/2017","A. Maciel","B. Carvalho","Observação em campo","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.67436","-53.79412","2","Campos do Pampa"
"DEMO-COORD-02","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","08","04","2019","08","04","2019","2019/04/08","F. Oliveira","F. Oliveira","Observação","Brasil","BR","Pernambuco","Recife","Plataforma continental","-8.2","-34.3","1","Costa"
"MN-0042832","Tapirus terrestris","(Linnaeus, 1758)","Tapiridae","Tapirus","Anta","12","06","2019","12","09","2019","12/06/2019","M. Andrade","T. Almeida","Armadilha fotográfica","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.30875","-52.89914","","Cerrado / campo limpo"
"MN-0042920","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","11","09","2015","11","05","2016","11/09/2015","C. Lima","P. Santos","Observação","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.16909","-47.51348","1","Cerrado sentido restrito"
"MN-0043724","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","03","10","2018","03","01","2019","03/10/2018","J. Pereira","A. Maciel","Registro fotográfico","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.61454","-38.49213","5","Caatinga arbórea"
"MN-0043448","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","","10","2023","","01","2024","10/2023","C. Lima","P. Santos","Observação","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.59093","-38.464","1","Caatinga arbórea"
"","Psophia viridis","Spix, 1825","Psophiidae","Psophia","Jacamim-de-costas-verdes","15","07","2017","15","07","2017","15/07/2017","P. Santos","F. Oliveira","Observação","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.61192","-55.89251","3","Floresta amazônica (sul)"
"MN-0043246","Inia geoffrensis","(Blainville, 1817)","Iniidae","Inia","Boto-cor-de-rosa","22","10","2018","22","10","2018","22/10/2018","R. Cunha","M. Andrade","Registro fotográfico","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.13517","-64.77821","1","Várzea amazônica"
"MN-0043381","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","23","11","2020","23","11","2020","23/11/2020","C. Lima","C. Lima","Observação","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.2022","-39.88305","2","Caatinga arbustiva"
"MN-0043024","Crax blumenbachii","Spix, 1825","Cracidae","Crax","Mutum-do-sudeste","","09","2022","","12","2022","09/2022","D. Rocha","B. Carvalho","Observação em campo","Brasil","BR","Espírito Santo","Linhares","Reserva Natural Vale","-19.1086","-40.08395","1","Floresta de tabuleiro"
"MN-0043641","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","25","10","2022","25","01","2023","25/10/2022","G. Nunes","J. Pereira","Registro fotográfico","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.18249","-39.83784","","Caatinga arbustiva"
"MN-0043452","Cereus jamacaru","DC.","Cactaceae","Cereus","Mandacaru","09","12","2024","09","03","2025","09/12/2024","P. Santos","B. Carvalho","Coleta","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.16552","-39.85274","3","Caatinga arbustiva"
"MN-0043832","Bertholletia excelsa","Bonpl.","Lecythidaceae","Bertholletia","Castanheira-do-pará","23","06","2018","23","07","2018","23/06/2018","J. Pereira","P. Santos","Espécime preservado","","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.63471","-55.95401","4","Floresta amazônica (sul)"
"MN-0042879","Crax blumenbachii","Spix, 1825","Cracidae","Crax","Mutum-do-sudeste","27","12","2020","27","12","2020","27/12/2020","M. Andrade","C. Lima","Observação","Brasil","BR","Espírito Santo","Linhares","Reserva Natural Vale","-19.16131","-40.0352","","Floresta de tabuleiro"
"MN-0043839","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","03","09","2019","03","12","2019","03/09/2019","C. Lima","C. Lima","Registro fotográfico","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.48488","-37.28264","","Caatinga arbórea"
"MN-0043464","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","09","01","2024","09","01","2024","09/01/2024","F. Oliveira","R. Cunha","Coleta","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.07906","-47.95904","3","Floresta Atlântica"
"MN-0043120","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","12","03","2015","12","04","2015","2015/03/12","T. Almeida","T. Almeida","Registro fotográfico","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.50053","-37.28482","1","Caatinga arbórea"
"MN-0043854","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","02","10","2020","02","10","2020","02/10/2020","M. Andrade","B. Carvalho","Espécime preservado","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.08263","-64.76778","4","Várzea amazônica"
"MN-0043204","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","19","01","2024","19","03","2024","19/01/2024","J. Pereira","T. Almeida","Coleta","","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.26899","-36.40168","3","Brejo de altitude"
"MN-0043237","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","07","03","2022","07","05","2022","07/03/2022","L. Souza","L. Souza","Registro fotográfico","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.59044","-38.48753","5","Caatinga arbórea"
"MN-0043126","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","14","01","2023","14","02","2023","14/01/2023","D. Rocha","G. Nunes","Observação em campo","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.77494","-35.17107","","Floresta Atlântica"
"MN-0043465","Butia odorata","(Barb.Rodr.) Noblick","Arecaceae","Butia","Butiá","27","04","2022","27","05","2022","27/04/2022 05:47","C. Lima","D. Rocha","Material preservado (herbário)","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.65788","-54.19844","2","Campos do Pampa"
"MN-0043009","Amazona pretrei","(Temminck, 1830)","Psittacidae","Amazona","Papagaio-charão","15","06","2024","15","07","2024","15/06/2024","J. Pereira","M. Andrade","Observação em campo","Brasil","BR","Rio Grande do Sul","Carazinho","Floresta Nacional de Carazinho","-28.3118","-52.76235","1","Floresta com Araucária"
"MN-0043042","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","15","02","2016","15","04","2016","15/02/2016","J. Pereira","A. Maciel","Observação","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.06231","-47.97485","4","Floresta Atlântica"
"MN-0043262","Leontopithecus rosalia","(Linnaeus, 1766)","Callitrichidae","Leontopithecus","Mico-leão-dourado","12","03","2020","12","04","2020","12/03/2020","P. Santos","T. Almeida","Registro fotográfico","Brasil","BR","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas","-22.58726","-42.22922","1","Floresta Atlântica"
"MN-0043642","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","25","06","2019","25","06","2019","25/06/2019","M. Andrade","M. Andrade","Espécime preservado","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.47693","-37.28181","3","Caatinga arbórea"
"MN-0043376","Blastocerus dichotomus","(Illiger, 1815)","Cervidae","Blastocerus","Cervo-do-pantanal","25","03","2016","25","03","2016","25/03/2016","L. Souza","T. Almeida","Registro fotográfico","BRASIL","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.38275","-56.72885","4","Planície de inundação do Pantanal"
"MN-0043573","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","18","01","2024","18","03","2024","18/01/2024","B. Carvalho","M. Andrade","Observação em campo","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.04735","-57.69188","1","Planície de inundação do Pantanal"
"MN-0043683","Glaucis dohrnii","(Bourcier & Mulsant, 1852)","Trochilidae","Glaucis","Rabo-branco-de-margarette","04","01","2021","04","04","2021","04/01/2021","T. Almeida","F. Oliveira","Registro fotográfico","BRASIL","BR","Bahia","Una","Reserva Biológica de Una","-15.1689","-39.02881","3","Floresta Atlântica"
"MN-0043026","Panthera onca","(Linnaeus, 1758)","Felidae","Panthera","Onça-pintada","12","09","2023","12","12","2023","12/09/2023","A. Maciel","A. Maciel","Registro fotográfico","Brasil","BR","Mato Grosso do Sul","Miranda","RPPN Caiman","-19.99102","-56.29058","1","Planície de inundação do Pantanal"
"MN-0043769","Anodorhynchus leari","Bonaparte, 1856","Psittacidae","Anodorhynchus","Arara-azul-de-lear","04","05","2017","04","06","2017","04/05/2017","L. Souza","L. Souza","Observação em campo","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.58369","-38.53589","1","Caatinga arbórea"
"MN-0043053","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","19","09","2018","19","09","2018","19/09/2018","M. Andrade","J. Pereira","Observação em campo","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.34059","-46.55834","3","Campo rupestre / rio de planalto"
"MN-0043357","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","12","09","2015","12","10","2016","12/09/2015","C. Lima","B. Carvalho","Armadilha fotográfica","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.30313","-46.55325","2","Campo rupestre / rio de planalto"
"MN-0043048","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","03","03","2022","03","05","2022","03/03/2022","B. Carvalho","F. Oliveira","Registro fotográfico","Brasil","BR","Bahia","Boa Nova","Parque Nacional de Boa Nova","-14.35328","-40.19388","2","Mata-de-cipó"
"MN-0043895","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","28","03","2020","28","06","2020","28/03/2020","F. Oliveira","L. Souza","Material preservado (herbário)","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.54595","-37.26668","2","Caatinga arbórea"
"MN-0043516","Swietenia macrophylla","King","Meliaceae","Swietenia","Mogno","14","02","2016","14","04","2016","14/02/2016","L. Souza","B. Carvalho","Espécime preservado","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.56324","-55.93959","1","Floresta amazônica (sul)"
"MN-0043361","Bertholletia excelsa","Bonpl.","Lecythidaceae","Bertholletia","Castanheira-do-pará","07","04","2019","07","04","2019","07/04/2019","P. Santos","R. Cunha","Coleta","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.71697","-51.44818","2","Floresta de terra firme"
"MN-0043619","Blastocerus dichotomus","(Illiger, 1815)","Cervidae","Blastocerus","Cervo-do-pantanal","09","01","2015","09","01","2015","09/01/2015","F. Oliveira","P. Santos","Registro fotográfico","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.36696","-56.72932","1","Planície de inundação do Pantanal"
"MN-0043152","Psophia viridis","Spix, 1825","Psophiidae","Psophia","Jacamim-de-costas-verdes","10","12","2023","10","12","2023","10/12/2023","F. Oliveira","C. Lima","Observação em campo","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.61654","-55.90967","1","Floresta amazônica (sul)"
"MN-0042999","Glaucis dohrnii","(Bourcier & Mulsant, 1852)","Trochilidae","Glaucis","Rabo-branco-de-margarette","01","09","2015","01","11","2015","01/09/2015","D. Rocha","B. Carvalho","Registro fotográfico","Brasil","BR","Bahia","Una","Reserva Biológica de Una","-15.185","-39.02534","1","Floresta Atlântica"
"","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","","01","2015","","04","2015","01/2015","L. Souza","P. Santos","Registro fotográfico","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.02847","-57.67785","3","Planície de inundação do Pantanal"
"MN-0043451","Panthera onca","(Linnaeus, 1758)","Felidae","Panthera","Onça-pintada","","01","2016","","05","2017","01/2016","M. Andrade","C. Lima","Armadilha fotográfica","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.33959","-56.72556","3","Planície de inundação do Pantanal"
"MN-0042842","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","13","01","2015","13","03","2015","13/01/2015","D. Rocha","D. Rocha","Coleta","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.76311","-35.17376","1","Floresta Atlântica"
"MN-0042922","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","27","08","2019","27","11","2019","27/08/2019","F. Oliveira","G. Nunes","Espécime preservado","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.06623","-64.78269","3","Várzea amazônica"
"MN-0043595","Blastocerus dichotomus","(Illiger, 1815)","Cervidae","Blastocerus","Cervo-do-pantanal","24","02","2024","24","02","2024","2024/02/24","R. Cunha","G. Nunes","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.34212","-56.78176","3","Planície de inundação do Pantanal"
"MN-0043051","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","24","07","2015","24","07","2015","24/07/2015","D. Rocha","C. Lima","Observação","Brasil","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.23908","-36.41351","1","Brejo de altitude"
"MN-0043360","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","","05","2015","","08","2015","05/2015","R. Cunha","C. Lima","Registro fotográfico","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.32053","-56.80248","1","Planície de inundação do Pantanal"
"MN-0043749","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","02","09","2015","02","09","2015","02/09/2015","J. Pereira","T. Almeida","Material preservado (herbário)","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.08658","-64.78498","3","Várzea amazônica"
"MN-0043593","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","13","05","2021","13","05","2021","13/05/2021","C. Lima","P. Santos","Registro fotográfico","Brasil","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.2561","-36.46979","3","Brejo de altitude"
"MN-0043339","Spinus yarrellii","(Audubon, 1839)","Fringillidae","Spinus","Pintassilgo-do-nordeste","24","02","2020","24","04","2020","24/02/2020","M. Andrade","L. Souza","Observação","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-5.00438","-38.98804","","Caatinga / serra úmida"
"MN-0043045","Ramphastos tucanus","Linnaeus, 1758","Ramphastidae","Ramphastos","Tucano-grande-de-papo-branco","17","02","2022","17","05","2022","17/02/2022","J. Pereira","A. Maciel","Observação em campo","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.60087","-55.92116","3","Floresta amazônica (sul)"
"MN-0043789","Paubrasilia echinata","(Lam.) Gagnon, H.C.Lima & G.P.Lewis","Fabaceae","Paubrasilia","Pau-brasil","14","10","2024","14","10","2024","14/10/2024","G. Nunes","A. Maciel","Espécime preservado","Brasil","BR","Bahia","Una","Reserva Biológica de Una","-15.12873","-39.09466","1","Floresta Atlântica"
"MN-0043395","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","12","03","2020","12","04","2020","2020/03/12","G. Nunes","B. Carvalho","Observação","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.05615","-47.9664","3","Floresta Atlântica"
"MN-0042867","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","04","07","2024","04","10","2024","04/07/2024","G. Nunes","R. Cunha","Espécime preservado","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.15804","-47.51829","1","Cerrado sentido restrito"
"MN-0043323","Blastocerus dichotomus","(Illiger, 1815)","Cervidae","Blastocerus","Cervo-do-pantanal","04","07","2016","04","07","2016","04/07/2016","R. Cunha","B. Carvalho","Observação em campo","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.32891","-56.78154","1","Planície de inundação do Pantanal"
"MN-0042966","Leontopithecus rosalia","(Linnaeus, 1766)","Callitrichidae","Leontopithecus","Mico-leão-dourado","15","05","2024","15","05","2024","15/05/2024","A. Maciel","D. Rocha","Observação","Brasil","BR","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas","-22.52066","-42.30218","1","Floresta Atlântica"
"MN-0042840","Phylloscartes ceciliae","Teixeira, 1987","Tyrannidae","Phylloscartes","Cara-pintada","20","07","2019","20","08","2019","20/07/2019","L. Souza","G. Nunes","Observação em campo","Brasil","BR","Alagoas","Murici","Estação Ecológica de Murici","-9.24109","-35.84757","1","Floresta Atlântica"
"MN-0043198","Rhea americana","(Linnaeus, 1758)","Rheidae","Rhea","Ema","05","05","2024","05","05","2024","05/05/2024","J. Pereira","P. Santos","Observação em campo","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.23983","-52.93852","1","Cerrado / campo limpo"
"MN-0042983","Bertholletia excelsa","Bonpl.","Lecythidaceae","Bertholletia","Castanheira-do-pará","01","07","2018","01","10","2018","01/07/2018","G. Nunes","B. Carvalho","Espécime preservado","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.59791","-55.903","3","Floresta amazônica (sul)"
"MN-0043555","Psophia viridis","Spix, 1825","Psophiidae","Psophia","Jacamim-de-costas-verdes","09","03","2024","09","04","2024","09/03/2024","C. Lima","T. Almeida","Registro fotográfico","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.60961","-55.92163","1","Floresta amazônica (sul)"
"MN-0043336","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","03","01","2017","03","03","2017","03/01/2017","F. Oliveira","A. Maciel","Observação em campo","BRASIL","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.5332","-37.29437","1","Caatinga arbórea"
"","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","20","10","2023","20","10","2023","20/10/2023 02:11","T. Almeida","T. Almeida","Observação em campo","Brasil","BR","Mato Grosso do Sul","Miranda","RPPN Caiman","-19.99422","-56.31202","3","Planície de inundação do Pantanal"
"MN-0043085","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","24","08","2022","24","03","2023","24/08/2022","T. Almeida","J. Pereira","Armadilha fotográfica","BRASIL","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.27474","-46.50215","","Campo rupestre / rio de planalto"
"MN-0043228","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","15","07","2021","15","07","2021","15/07/2021","G. Nunes","T. Almeida","Observação em campo","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.59307","-38.5363","2","Caatinga arbórea"
"MN-0043090","Tapirus terrestris","(Linnaeus, 1758)","Tapiridae","Tapirus","Anta","17","10","2020","17","08","2021","17/10/2020","T. Almeida","B. Carvalho","Armadilha fotográfica","BRASIL","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.3203","-52.87645","2","Cerrado / campo limpo"
"MN-0043786","Amazona pretrei","(Temminck, 1830)","Psittacidae","Amazona","Papagaio-charão","07","09","2019","07","09","2019","07/09/2019","F. Oliveira","M. Andrade","Observação em campo","Brasil","BR","Rio Grande do Sul","Carazinho","Floresta Nacional de Carazinho","-28.31594","-52.76479","2","Floresta com Araucária"
"MN-0043006","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","06","11","2023","06","12","2023","06/11/2023","A. Maciel","L. Souza","Observação","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.08546","-48.00749","6","Floresta Atlântica"
"MN-0043207","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","27","10","2018","27","01","2019","27/10/2018","P. Santos","D. Rocha","Coleta","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.77222","-35.19346","3","Floresta Atlântica"
"MN-0043439","Rhea americana","(Linnaeus, 1758)","Rheidae","Rhea","Ema","24","02","2024","24","05","2024","24/02/2024","C. Lima","P. Santos","Observação em campo","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.31843","-46.54109","3","Campo rupestre / rio de planalto"
"MN-0043287","Glaucis dohrnii","(Bourcier & Mulsant, 1852)","Trochilidae","Glaucis","Rabo-branco-de-margarette","01","02","2017","01","04","2017","01/02/2017","R. Cunha","R. Cunha","Observação","Brasil","BR","Bahia","Una","Reserva Biológica de Una","-15.12934","-39.08954","1","Floresta Atlântica"
"MN-0043093","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","05","12","2019","05","02","2020","05/12/2019","G. Nunes","R. Cunha","Registro fotográfico","Brasil","BR","Bahia","Boa Nova","Parque Nacional de Boa Nova","-14.32593","-40.19516","3","Mata-de-cipó"
"MN-0043405","Phylloscartes ceciliae","Teixeira, 1987","Tyrannidae","Phylloscartes","Cara-pintada","03","12","2019","03","01","2020","03/12/2019","D. Rocha","P. Santos","Observação em campo","Brasil","BR","Alagoas","Murici","Estação Ecológica de Murici","-9.21714","-35.8695","1","Floresta Atlântica"
"MN-0043094","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","25","04","2023","25","06","2023","25/04/2023","J. Pereira","P. Santos","Observação em campo","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.09383","-47.93937","1","Floresta Atlântica"
"MN-0043791","Rhea americana","(Linnaeus, 1758)","Rheidae","Rhea","Ema","26","11","2019","26","01","2020","26/11/2019","J. Pereira","A. Maciel","Observação","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.27422","-52.90764","1","Cerrado / campo limpo"
"MN-0043665","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","14","12","2017","14","01","2018","14/12/2017","B. Carvalho","D. Rocha","Observação em campo","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.59703","-38.45847","2","Caatinga arbórea"
"MN-0042915","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","27","12","2016","27","03","2017","27/12/2016","L. Souza","L. Souza","Registro fotográfico","Brasil","BR","Mato Grosso do Sul","Miranda","RPPN Caiman","-19.9256","-56.3351","5","Planície de inundação do Pantanal"
"MN-0043737","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","02","06","2020","02","08","2020","02/06/2020","M. Andrade","C. Lima","Observação em campo","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.07159","-47.9605","2","Floresta Atlântica"
